First Name,Last Name,Team,Position,Height(inches),Weight(pounds),Age
Julio,Franco,NYM,First Baseman,73,188,48.52
Jamie,Moyer,PHI,Starting Pitcher,72,175,44.28
Stephen,Drew,ARZ,Shortstop,72,185,23.96
Barry,Bonds,SF,Outfielder,74,228,42.6
Kenny,Rogers,DET,Starting Pitcher,73,211,42.3
Roberto,Hernandez,CLE,Relief Pitcher,76,250,42.3
Craig,Biggio,HOU,Second Baseman,71,185,41.21
Mike,Timlin,BOS,Relief Pitcher,76,210,40.97
Tom,Glavine,NYM,Starting Pitcher,72,185,40.93
Greg,Maddux,SD,Starting Pitcher,72,185,40.88
Jose,Mesa,DET,Relief Pitcher,75,232,40.77
Jeff,Conine,CIN,Outfielder,73,220,40.68
Moises,Alou,NYM,Outfielder,75,220,40.66
Tim,Wakefield,BOS,Starting Pitcher,74,210,40.58
Woody,Williams,HOU,Starting Pitcher,72,200,40.53
Curt,Schilling,BOS,Starting Pitcher,77,235,40.29
Omar,Vizquel,SF,Shortstop,69,175,39.85
Rheal,Cormier,CIN,Relief Pitcher,70,195,39.85
John,Smoltz,ATL,Starting Pitcher,75,220,39.79
Doug,Brocail,SD,Relief Pitcher,77,235,39.79
Mike,Stanton,CIN,Relief Pitcher,73,215,39.75
Kenny,Lofton,TEX,Outfielder,72,180,39.75
Luis,Gonzalez,LA,Outfielder,74,200,39.49
Trevor,Hoffman,SD,Relief Pitcher,72,215,39.38
Tom,Gordon,PHI,Relief Pitcher,70,190,39.28
Reggie,Sanders,KC,Outfielder,73,205,39.25
Jeff,Kent,LA,Second Baseman,73,210,38.98
Todd,Jones,DET,Relief Pitcher,75,230,38.85
Frank,Thomas,TOR,Designated Hitter,77,275,38.76
Mike,Piazza,OAK,Catcher,75,215,38.49
Brian,Shouse,MLW,Relief Pitcher,71,190,38.43
Russ,Springer,STL,Relief Pitcher,76,211,38.31
Sammy,Sosa,TEX,Outfielder,72,220,38.3
Gary,Sheffield,DET,Outfielder,72,205,38.28
Mike,Mussina,NYY,Starting Pitcher,74,185,38.23
Orlando,Palmeiro,HOU,Outfielder,71,180,38.11
Bob,Wickman,ATL,Relief Pitcher,73,240,38.06
Brad,Ausmus,HOU,Catcher,71,190,37.88
Dustin,Moseley,ANA,Starting Pitcher,76,190,37.74
Mike,Myers,NYY,Relief Pitcher,75,219,37.68
So,Taguchi,STL,Outfielder,70,163,37.66
Jeff,Cirillo,MIN,Third Baseman,73,200,37.43
David,Weathers,CIN,Relief Pitcher,75,230,37.43
Orlando,Hernandez,NYM,Starting Pitcher,74,220,37.39
Jose,Valentin,NYM,Second Baseman,70,195,37.38
Damian,Miller,MLW,Catcher,75,220,37.38
Hector,Carrasco,ANA,Relief Pitcher,74,220,37.36
Mark,Sweeney,SF,First Baseman,73,215,37.34
Damion,Easley,NYM,Shortstop,71,190,37.3
Ken,Griffey,CIN,Outfielder,75,205,37.27
Mariano,Rivera,NYY,Relief Pitcher,74,170,37.25
Scott,Hatteberg,CIN,First Baseman,73,210,37.21
Royce,Clayton,TOR,Shortstop,72,185,37.16
Alan,Embree,OAK,Relief Pitcher,74,190,37.1
Takashi,Saito,LA,Relief Pitcher,73,202,37.04
Jon,Lieber,PHI,Starting Pitcher,74,230,36.91
Ricardo,Rincon,STL,Relief Pitcher,69,190,36.88
Tom,Martin,COL,Relief Pitcher,73,206,36.78
Jim,Edmonds,STL,Outfielder,73,212,36.68
Mark,Grudzielanek,KC,Second Baseman,73,190,36.67
Craig,Counsell,MLW,Shortstop,72,184,36.53
Jim,Thome,CWS,Designated Hitter,76,244,36.51
Dan,Miceli,TB,Relief Pitcher,72,215,36.47
Darren,Oliver,ANA,Relief Pitcher,74,220,36.4
Olmedo,Saenz,LA,First Baseman,71,221,36.39
Tanyon,Sturtze,ATL,Relief Pitcher,77,200,36.38
Doug,Mirabelli,BOS,Catcher,73,220,36.37
Steve,Trachsel,BAL,Starting Pitcher,76,205,36.33
Javy,Lopez,COL,Designated Hitter,75,224,36.32
Paul,Byrd,CLE,Starting Pitcher,73,190,36.24
Jason,Giambi,NYY,Designated Hitter,75,230,36.14
Elmer,Dessens,LA,Relief Pitcher,70,198,36.13
Brian,Giles,SD,Outfielder,70,205,36.11
Miguel,Batista,SEA,Starting Pitcher,73,197,36.03
Gregg,Zaun,TOR,Catcher,70,190,35.88
Joe,Borowski,CLE,Relief Pitcher,74,225,35.82
Mike,Redmond,MIN,Catcher,71,200,35.82
Ryan,Klesko,SF,Outfielder,75,220,35.72
Chris,Gomez,BAL,First Baseman,73,188,35.71
Jamie,Walker,BAL,Relief Pitcher,74,195,35.67
Ron,Mahay,TEX,Relief Pitcher,74,185,35.67
Brendan,Donnelly,BOS,Relief Pitcher,75,240,35.66
Billy,Wagner,NYM,Relief Pitcher,71,195,35.6
Mark,Loretta,HOU,Second Baseman,72,186,35.55
Jorge,Posada,NYY,Catcher,74,205,35.54
Henry,Blanco,CHC,Catcher,71,224,35.5
Rich,Aurilia,SF,Third Baseman,73,189,35.49
Kevin,Millar,BAL,First Baseman,72,210,35.43
Pedro,Martinez,NYM,Starting Pitcher,71,180,35.35
Matt,Miller,CLE,Relief Pitcher,75,215,35.27
Ray,Durham,SF,Second Baseman,68,196,35.25
Ivan,Rodriguez,DET,Catcher,69,218,35.25
Jose,Contreras,CWS,Starting Pitcher,76,224,35.23
Esteban,Loaiza,OAK,Starting Pitcher,75,215,35.16
Akinori,Otsuka,TEX,Relief Pitcher,72,200,35.13
Mike,Lieberthal,LA,Catcher,72,190,35.12
Melvin,Mora,BAL,Third Baseman,71,200,35.07
Rondell,White,MIN,Designated Hitter,73,225,35.02
Salomon,Torres,PIT,Relief Pitcher,71,210,34.97
Adam,Melhuse,OAK,Catcher,74,200,34.93
Jason,Varitek,BOS,Catcher,74,230,34.89
Paul,Lo,NYM,Catcher,70,185,34.88
Antonio,Alfonseca,PHI,Relief Pitcher,77,250,34.87
Gary,Bennett,STL,Catcher,72,208,34.87
Chipper,Jones,ATL,Third Baseman,76,210,34.85
Manny,Ramirez,BOS,Outfielder,72,213,34.75
Scott,Eyre,CHC,Relief Pitcher,73,210,34.75
Dave,Roberts,SF,Outfielder,70,180,34.75
Raul,Ibanez,SEA,Outfielder,74,200,34.74
Tony,Graffanino,MLW,Second Baseman,73,190,34.73
Andy,Pettitte,NYY,Starting Pitcher,77,225,34.71
Alberto,Callaspo,ARZ,Shortstop,70,175,23.87
Juan,Castro,CIN,Shortstop,71,195,34.69
Paul,Bako,BAL,Catcher,74,215,34.69
Carlos,Delgado,NYM,First Baseman,75,230,34.68
Garret,Anderson,ANA,Outfielder,75,225,34.67
Greg,Norton,TB,Outfielder,73,200,34.65
Steve,Kline,SF,Relief Pitcher,73,215,34.52
Jay,Witasick,OAK,Relief Pitcher,76,235,34.51
Jason,Isringhausen,STL,Relief Pitcher,75,230,34.48
Mike,Hampton,ATL,Starting Pitcher,70,195,34.47
Scott,Spiezio,STL,Third Baseman,74,220,34.44
Ramon,Martinez,LA,Second Baseman,73,190,34.39
Armando,Benitez,SF,Relief Pitcher,76,229,34.32
Shawn,Green,NYM,Outfielder,76,200,34.3
Jay,Payton,BAL,Outfielder,70,185,34.27
Cliff,Floyd,CHC,Outfielder,76,230,34.23
LaTroy,Hawkins,COL,Relief Pitcher,77,215,34.19
Mike,Cameron,SD,Outfielder,74,200,34.14
Jason,Schmidt,LA,Starting Pitcher,77,205,34.08
Chris,Coste,PHI,Catcher,73,200,34.07
Ryan,Franklin,STL,Starting Pitcher,75,180,33.99
Aaron,Boone,FLA,Third Baseman,74,200,33.98
Vance,Wilson,DET,Catcher,71,190,33.95
Brett,Tomko,LA,Relief Pitcher,76,215,33.9
Brady,Clark,MLW,Outfielder,74,202,33.87
Geoff,Blum,SD,Shortstop,75,200,33.85
Ramon,Ortiz,MIN,Starting Pitcher,72,175,33.77
Todd,Walker,SD,Second Baseman,72,185,33.77
Julian,Tavarez,BOS,Relief Pitcher,74,195,33.77
Bartolo,Colon,ANA,Starting Pitcher,71,250,33.77
Derek,Lowe,LA,Starting Pitcher,78,210,33.75
Trever,Miller,HOU,Relief Pitcher,75,200,33.75
Neifi,Perez,DET,Second Baseman,72,197,33.74
Corey,Koskie,MLW,Third Baseman,75,219,33.67
Chan,Ho,NYM,Starting Pitcher,74,210,33.67
Mike,Sweeney,KC,Designated Hitter,75,225,33.61
Guillermo,Mota,NYM,Relief Pitcher,76,205,33.6
Nomar,Garciaparra,LA,First Baseman,72,190,33.6
Bob,Howry,CHC,Relief Pitcher,77,220,33.57
Todd,Helton,COL,First Baseman,74,204,33.53
Casey,Blake,CLE,Outfielder,74,210,33.52
Aaron,Fultz,CLE,Relief Pitcher,72,205,33.49
David,Newhan,NYM,Outfielder,70,180,33.48
John,Thomson,TOR,Starting Pitcher,75,220,33.41
Scott,Schoeneweis,NYM,Relief Pitcher,72,195,33.41
Ichiro,Suzuki,SEA,Outfielder,69,172,33.36
David,Dellucci,CLE,Outfielder,71,190,33.33
Johnny,Damon,NYY,Outfielder,74,190,33.32
Justin,Speier,ANA,Relief Pitcher,76,205,33.31
Octavio,Dotel,KC,Relief Pitcher,72,210,33.26
Randy,Johnson,ARZ,Starting Pitcher,82,231,43.47
Marlon,Anderson,LA,Second Baseman,71,200,33.15
Jermaine,Dye,CWS,Outfielder,77,220,33.09
Magglio,Ordo?ez,DET,Outfielder,72,215,33.09
Jamey,Carroll,COL,Second Baseman,69,170,33.03
Shannon,Stewart,OAK,Outfielder,71,200,33.01
Mike,Lowell,BOS,Third Baseman,75,210,33.01
Bobby,Abreu,NYY,Outfielder,72,211,32.97
Jason,LaRue,KC,Catcher,71,200,32.95
Trot,Nixon,CLE,Outfielder,74,211,32.89
Jose,Cruz,SD,Outfielder,72,210,32.87
Frank,Catalanotto,TEX,Outfielder,71,195,32.84
Miguel,Cairo,NYY,Second Baseman,73,208,32.82
John,Bale,KC,Starting Pitcher,76,205,32.77
Russ,Ortiz,SF,Starting Pitcher,73,208,32.74
Darin,Erstad,CWS,Outfielder,74,210,32.74
Randy,Winn,SF,Outfielder,74,197,32.73
Hideki,Matsui,NYY,Outfielder,74,230,32.72
Doug,Mientkiewicz,NYY,First Baseman,74,206,32.7
Mark,Hendrickson,LA,Starting Pitcher,81,230,32.69
Derek,Jeter,NYY,Shortstop,75,195,32.68
Jason,Kendall,OAK,Catcher,72,195,32.68
Sean,Casey,DET,First Baseman,76,225,32.66
Jonathan,Johnson,ATL,Starting Pitcher,72,180,32.62
Geoff,Jenkins,MLW,Outfielder,73,212,32.61
Bengie,Molina,SF,Catcher,71,220,32.61
Luis,Vizcaino,NYY,Relief Pitcher,71,184,32.57
Chris,Heintz,MIN,Catcher,73,210,32.57
Matt,Morris,SF,Starting Pitcher,77,220,32.56
Jarrod,Washburn,SEA,Starting Pitcher,73,195,32.55
Matt,Clement,BOS,Starting Pitcher,75,210,32.55
Mark,Bellhorn,CIN,Third Baseman,73,205,32.52
Jose,Vidro,SEA,Second Baseman,71,193,32.51
Gary,Matthews,ANA,Outfielder,75,225,32.51
Pablo,Ozuna,CWS,Outfielder,70,186,32.51
Chad,Bradford,BAL,Relief Pitcher,77,203,32.46
John,McDonald,TOR,Shortstop,71,175,32.43
Joe,Nelson,KC,Relief Pitcher,74,185,32.35
Marty,McLeary,PIT,Relief Pitcher,77,230,32.34
Braden,Looper,STL,Relief Pitcher,75,220,32.34
Orlando,Cabrera,ANA,Shortstop,70,190,32.33
Kris,Benson,BAL,Starting Pitcher,76,195,32.31
Micah,Bowie,WAS,Relief Pitcher,76,203,32.3
Joe,Nathan,MIN,Relief Pitcher,76,205,32.27
Ken,Ray,KC,Relief Pitcher,74,200,32.26
Tadahito,Iguchi,CWS,Second Baseman,69,185,32.24
Kevin,Millwood,TEX,Starting Pitcher,76,235,32.18
Emil,Brown,KC,Outfielder,74,200,32.17
Richie,Sexson,SEA,First Baseman,80,237,32.17
Jeff,Suppan,MLW,Starting Pitcher,74,220,32.16
Kiko,Calero,OAK,Relief Pitcher,73,180,32.14
David,Eckstein,STL,Shortstop,67,165,32.11
Miguel,Ojeda,TEX,Catcher,74,190,32.08
Damaso,Marte,PIT,Relief Pitcher,74,200,32.04
Chad,Moeller,CIN,Catcher,75,210,32.03
Tony,Clark,ARZ,First Baseman,79,245,34.71
Mark,DeRosa,CHC,Outfielder,73,205,32.01
Scott,Rolen,STL,Third Baseman,76,240,31.91
Jacque,Jones,CHC,Outfielder,70,195,31.85
Pedro,Feliz,SF,Third Baseman,73,205,31.84
Chris,Carpenter,STL,Starting Pitcher,78,230,31.84
Rafael,Betancourt,CLE,Relief Pitcher,74,200,31.84
Francisco,Cordero,MLW,Relief Pitcher,74,235,31.81
Josh,Paul,TB,Catcher,73,200,31.78
Jose,Molina,ANA,Catcher,74,220,31.74
Freddy,Garcia,PHI,Starting Pitcher,76,240,31.72
Daryle,Ward,CHC,Outfielder,74,230,31.68
Tim,Hudson,ATL,Starting Pitcher,73,164,31.63
Torii,Hunter,MIN,Outfielder,74,211,31.62
Scot,Shields,ANA,Relief Pitcher,73,170,31.61
Alex,Rodriguez,NYY,Third Baseman,75,210,31.59
Shea,Hillenbrand,ANA,First Baseman,73,211,31.59
Chad,Paronto,ATL,Relief Pitcher,77,250,31.59
Randy,Flores,STL,Relief Pitcher,72,180,31.58
Eric,Milton,CIN,Starting Pitcher,75,208,31.57
Edgar,Renteria,ATL,Shortstop,73,200,31.56
Brian,Fuentes,COL,Relief Pitcher,76,220,31.56
Mike,Lamb,HOU,First Baseman,73,190,31.56
Morgan,Ensberg,HOU,Third Baseman,74,210,31.51
Rod,Barajas,PHI,Catcher,74,220,31.49
Derrek,Lee,CHC,First Baseman,77,245,31.48
Luis,Castillo,MIN,Second Baseman,71,190,31.47
Javier,Valentin,CIN,Catcher,70,192,31.45
Jeff,DaVanon,ARZ,Outfielder,72,200,33.23
Carlos,Guillen,DET,Shortstop,73,204,31.42
Scott,Cassidy,SD,Relief Pitcher,74,170,31.41
Placido,Polanco,DET,Second Baseman,70,190,31.39
Alex,Cora,BOS,Shortstop,72,180,31.37
Toby,Hall,CWS,Catcher,75,240,31.36
Kaz,Matsui,COL,Second Baseman,70,185,31.35
Marco,Scutaro,OAK,Shortstop,70,170,31.33
Julio,Lugo,BOS,Shortstop,73,170,31.29
David,Ortiz,BOS,Designated Hitter,76,230,31.28
J.D.,Drew,BOS,Outfielder,73,200,31.28
Matt,Wise,MLW,Relief Pitcher,76,200,31.28
Shawn,Camp,TB,Relief Pitcher,73,200,31.28
Clay,Condrey,PHI,Relief Pitcher,75,195,31.28
Mark,Kotsay,OAK,Outfielder,72,201,31.24
Rodrigo,Lopez,COL,Starting Pitcher,73,190,31.21
Russell,Branyan,SD,Outfielder,75,195,31.2
Hideki,Okajima,BOS,Relief Pitcher,73,194,31.18
Jaret,Wright,BAL,Starting Pitcher,74,230,31.17
B.J.,Ryan,TOR,Relief Pitcher,78,249,31.17
Ted,Lilly,CHC,Starting Pitcher,73,190,31.15
Eric,Gagne,TEX,Relief Pitcher,74,234,31.15
Alfonso,Soriano,CHC,Outfielder,73,180,31.15
Carl,Pavano,NYY,Starting Pitcher,77,241,31.14
Adam,Kennedy,STL,Second Baseman,73,185,31.14
Vladimir,Guerrero,ANA,Outfielder,75,220,31.06
Lance,Berkman,HOU,First Baseman,73,220,31.05
Livan,Hernandez,ARZ,Starting Pitcher,74,245,32.02
Scott,Williamson,BAL,Relief Pitcher,72,180,31.03
Scott,Elarton,KC,Starting Pitcher,80,240,31.02
Randy,Keisler,STL,Relief Pitcher,75,190,31.01
Ramon,Castro,NYM,Catcher,75,235,31
Paul,Konerko,CWS,First Baseman,74,215,30.99
Matt,Treanor,FLA,Catcher,74,220,30.99
Juan,Encarnacion,STL,Outfielder,75,215,30.98
Ryan,Freel,CIN,Outfielder,70,180,30.98
Abraham,Nu?ez,PHI,Third Baseman,71,190,30.96
Tomo,Ohka,TOR,Starting Pitcher,73,200,30.95
Scott,Downs,TOR,Relief Pitcher,74,190,30.95
Scott,Podsednik,CWS,Outfielder,72,188,30.95
Joel,Peralta,KC,Relief Pitcher,71,160,30.94
Ross,Gload,KC,First Baseman,72,185,30.9
Kelvim,Escobar,ANA,Starting Pitcher,73,210,30.89
Kyle,Farnsworth,NYY,Relief Pitcher,76,240,30.88
Scott,Strickland,SD,Relief Pitcher,71,180,30.84
Jason,Michaels,CLE,Outfielder,72,204,30.82
Brian,Lawrence,COL,Starting Pitcher,72,197,30.8
Wes,Helms,PHI,First Baseman,76,231,30.8
Jose,Guillen,SEA,Outfielder,71,190,30.79
Ramon,Hernandez,BAL,Catcher,72,210,30.78
Miguel,Tejada,BAL,Shortstop,69,209,30.77
J.C.,Romero,BOS,Relief Pitcher,71,198,30.74
Kenji,Johjima,SEA,Catcher,72,200,30.73
Carlos,Lee,HOU,Outfielder,74,240,30.69
Rob,Mackowiak,CWS,Outfielder,70,195,30.69
Chris,Woodward,ATL,Second Baseman,72,185,30.67
Johnny,Estrada,MLW,Catcher,71,209,30.67
Javier,Vazquez,CWS,Starting Pitcher,74,205,30.6
Troy,Glaus,TOR,Third Baseman,77,240,30.57
Scott,Linebrink,SD,Relief Pitcher,75,208,30.57
Bobby,Kielty,OAK,Outfielder,73,225,30.57
Lew,Ford,MIN,Outfielder,72,195,30.55
Bubba,Crosby,CIN,Outfielder,71,185,30.55
Jeff,Weaver,SEA,Starting Pitcher,77,200,30.52
Randy,Wolf,LA,Starting Pitcher,72,200,30.52
Pedro,Feliciano,NYM,Relief Pitcher,70,185,30.51
Geoff,Geary,PHI,Relief Pitcher,72,167,30.51
Brian,Shackelford,CIN,Relief Pitcher,73,195,30.5
Mike,Rivera,MLW,Catcher,72,210,30.48
Wade,Miller,CHC,Starting Pitcher,74,220,30.46
Matt,Thornton,CWS,Relief Pitcher,78,228,30.46
Ben,Broussard,SEA,First Baseman,74,220,30.43
Jason,Phillips,TOR,Catcher,73,177,30.42
Pat,Burrell,PHI,Outfielder,76,223,30.39
Michael,Young,TEX,Shortstop,73,190,30.36
David,Riske,KC,Relief Pitcher,74,190,30.35
Michael,Barrett,CHC,Catcher,75,210,30.35
Jason,Grilli,DET,Relief Pitcher,77,210,30.3
Tim,Hamulack,LA,Relief Pitcher,76,210,30.29
Greg,Jones,ANA,Relief Pitcher,74,195,30.29
Brian,Schneider,WAS,Catcher,73,196,30.26
Craig,Wilson,ATL,First Baseman,74,220,30.25
Reed,Johnson,TOR,Outfielder,70,180,30.23
Chris,Booker,WAS,Relief Pitcher,75,230,30.22
Josh,Fogg,COL,Starting Pitcher,72,203,30.21
Aaron,Miles,STL,Second Baseman,67,180,30.21
Aubrey,Huff,BAL,Third Baseman,76,231,30.19
Jason,Lane,HOU,Outfielder,74,220,30.19
Brad,Lidge,HOU,Relief Pitcher,77,210,30.18
A.J.,Pierzynski,CWS,Catcher,75,245,30.17
Scott,Proctor,NYY,Relief Pitcher,73,198,30.16
A.J.,Burnett,TOR,Starting Pitcher,76,230,30.15
Rick,Bauer,TEX,Relief Pitcher,78,223,30.14
Lyle,Overbay,TOR,First Baseman,74,227,30.09
Adam,Everett,HOU,Shortstop,72,170,30.06
David,Borkowski,HOU,Relief Pitcher,73,200,30.06
Alex,Gonzalez,CIN,Shortstop,72,202,30.04
Juan,Padilla,NYM,Relief Pitcher,72,200,30.03
J.J.,Putz,SEA,Relief Pitcher,77,220,30.02
Bronson,Arroyo,CIN,Starting Pitcher,77,190,30.01
Craig,Monroe,DET,Outfielder,73,220,30
Jay,Gibbons,BAL,Designated Hitter,72,197,30
Mike,MacDougal,CWS,Relief Pitcher,76,195,29.99
